"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Record Type"
"Belmont Market","","","834 Monticello Rd","Charlottesville","VA","22902","C+","","","","12-352-8119","1 to 4","Less Than $500,000","(434) 295-4334","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"BKC Store","Tina","Wilkerson","11518 James Madison Hwy","Zion Crossroads","VA","22942","B","Female","Exec Director","","40-472-2573","5 to 9","$2.5-5 Million","(434) 589-6857","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Bkj Food LLC","Gul","Li","1709 Emmet St N","Charlottesville","VA","22901","B+","Male","Owner","","75-050-3055","5 to 9","$500,000-1 Million","(434) 529-6834","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Blue Ridge Country Store","Dan","Pribus","518 E Main St","Charlottesville","VA","22902","B+","Male","Owner","","90-995-2681","5 to 9","$500,000-1 Million","(434) 295-1573","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Blue Ridge Grocery","Gladys","Fisher","2797 Rockfish Valley Hwy","Nellysford","VA","22958","B+","Female","Manager","4343611157","63-752-6781","10 to 19","$1-2.5 Million","(434) 361-1105","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Blue Run Grocery","Thomas M","Garth","7439 Spotswood Trl","Stanardsville","VA","22973","C+","Male","Owner","","12-356-3694","1 to 4","Less Than $500,000","(434) 985-2458","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Brown's","Mike","Brown","1218 Avon St","Charlottesville","VA","22902","B","Male","Manager","","66-145-1369","5 to 9","$500,000-1 Million","(434) 295-4911","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Brownsville Market Inc","","","5995 Rockfish Gap Tpke","Crozet","VA","22932","A","","","4348235253","86-896-0980","20 to 49","$2.5-5 Million","(434) 823-5251","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Buck Island Country Store","Bob","Pitts","2243 Thomas Jefferson Pkwy","Charlottesville","VA","22902","C+","Male","Owner","","97-711-6359","1 to 4","Less Than $500,000","(434) 923-8080","599958","Beer-Homebrewing Equipment & Supplies","599958","Beer-Homebrewing Equipment & Supplies","Verified"
"C'Ville Cheese Store","","","110 5th St SE","Charlottesville","VA","22902","C+","","","","42-753-6777","5 to 9","Less Than $500,000","(434) 244-3275","545103","Cheese","545103","Cheese","Verified"
"Caul's Grocery","Tim","Werres","4530 Monacan Trail Rd","North Garden","VA","22959","C+","Male","Owner","","30-035-4388","1 to 4","Less Than $500,000","(434) 293-9645","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Celt Grocery","Scott","Chapman","6626 Celt Rd","Stanardsville","VA","22973","B","Male","Owner","","69-610-0213","5 to 9","$1-2.5 Million","(434) 985-2068","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Charlottesville Oriental Food","Hui","Qiao","374 Hillsdale Dr","Charlottesville","VA","22901","C+","Female","Owner","","90-154-6358","1 to 4","Less Than $500,000","(434) 984-4903","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chicken Coop","Cleve","Brice","40 Front St","Lovingston","VA","22949","C","Male","Owner","","36-634-4935","1 to 4","Less Than $500,000","(434) 263-7818","581208","Restaurants","581208","Restaurants","Verified"
"Circle K","Crystal","Bollinger","1099 Rio Road East","Charlottesville","VA","22901","B+","Female","Site Manager","","31-268-3196","5 to 9","$1-2.5 Million","(434) 978-1279","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Cismont Market","","","5412 Louisa Rd","Keswick","VA","22947","C+","","","","41-604-4015","1 to 4","$1-2.5 Million","(434) 295-1866","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Cohn's On The Corner","","","1611 University Ave","Charlottesville","VA","22903","B+","","","","12-355-2069","10 to 19","$1-2.5 Million","(434) 977-1986","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Colleen Exxon Svc-Convenience","Nancy","Saunders","4071 Thomas Nelson Hwy","Arrington","VA","22922","B+","Female","Site Manager","","86-829-2236","1 to 4","$1-2.5 Million","(434) 263-8395","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Columbia Corner Market","Emebet","Yihune","538 Saint James St","Columbia","VA","23038","C","Male","Owner","","31-541-7915","1 to 4","Less Than $500,000","(434) 842-3103","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Corner Joe","","","1325 W Main St # D","Charlottesville","VA","22903","C+","","","","40-614-5237","1 to 4","$500,000-1 Million","(434) 293-7905","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Corner Market & More","Jason","Edwards","201 East Main St","Louisa","VA","23093","U","Male","Owner","","74-096-8282","1 to 4","Less Than $500,000","(540) 603-2766","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Costco Wholesale","Victor","Curtis","3171 District Ave","Charlottesville","VA","22901","A","Male","Senior VP","4253136922","43-923-1711","100 to 249","$20-50 Million","(434) 328-7023","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Crossroads Market & Deli","","","10143 Three Notch Rd","Troy","VA","22974","B","","","","52-550-5426","1 to 4","$500,000-1 Million","(434) 589-4078","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Crossroads Store","Peter","Choi","4916 Plank Rd","North Garden","VA","22959","B+","Male","Owner","4342939959","30-608-2645","5 to 9","$1-2.5 Million","(434) 296-3626","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Design Electric Inc","Douglas","Umberger","1307 Carlton Ave","Charlottesville","VA","22902","A","Male","Owner","4342939261","31-671-2256","20 to 49","$5-10 Million","(434) 293-7740","173101","Electric Contractors","173101","Electric Contractors","Verified"
"Dharma Enterprises Inc","Dharma","Patel","667 Country Green Rd","Charlottesville","VA","22902","B","Male","Owner","","62-449-3102","1 to 4","$500,000-1 Million","(434) 295-2694","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Dickinson's Store","Warren A","Dickinson","5072 Zachary Taylor Hwy","Mineral","VA","23117","B+","Male","Owner","","43-691-8924","5 to 9","$500,000-1 Million","(540) 894-5769","542101","Seafood-Retail","542101","Seafood-Retail","Verified"
"Dollar General","Sheryl","Miller","4091 James Madison Hwy","Fork Union","VA","23055","B+","Female","Site Manager","","41-429-1543","5 to 9","$500,000-1 Million","(434) 328-5392","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","","","3259 Broad Street Rd","Gum Spring","VA","23065","B","","","","73-916-3711","5 to 9","$500,000-1 Million","(804) 424-2140","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","","","17475 Louisa Rd","Louisa","VA","23093","B","","","","73-917-7920","5 to 9","$500,000-1 Million","(540) 603-0444","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","J R","Chysum","406 East Main St","Louisa","VA","23093","A","Male","Site Manager","","93-455-3108","10 to 19","$1-2.5 Million","(540) 967-1371","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","Allan","Morazes","88 Main St","Lovingston","VA","22949","B+","Male","Site Manager","","57-109-8805","5 to 9","$500,000-1 Million","(434) 661-3025","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","Tiffany","Leslie","172 Davis Hwy","Mineral","VA","23117","B+","Female","Site Manager","","71-505-0050","10 to 19","$1-2.5 Million","(540) 894-5027","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","Erik","Hilliard","2985 Rockfish Valley Hwy","Nellysford","VA","22958","B","Male","Manager","","72-640-4341","5 to 9","$500,000-1 Million","(434) 226-2249","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","Mickey","Steele","19 Market St","Palmyra","VA","22963","B+","Female","Manager","","40-383-5798","5 to 9","$500,000-1 Million","(434) 373-0726","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","","","5671 Lowesville Rd","Piney River","VA","22964","B","","","","73-916-5739","5 to 9","$500,000-1 Million","(434) 277-1240","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","","","969 Valley St","Scottsville","VA","24590","B+","","","","52-550-0997","5 to 9","$1-2.5 Million","(434) 212-2955","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar General","Elizabeth","Morris","8263 Spotswood Trl","Stanardsville","VA","22973","A","Female","Site Manager","","90-154-1862","10 to 19","$1-2.5 Million","(434) 481-5001","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","2020 Rio Hill Ctr","Charlottesville","VA","22901","B+","","","","41-553-8793","10 to 19","$1-2.5 Million","(434) 218-6617","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","335 Merchant Walk Sq # 800","Charlottesville","VA","22902","B+","","","","73-109-8012","10 to 19","$1-2.5 Million","(434) 218-6831","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","420 Pantops Ctr","Charlottesville","VA","22911","A","","","","36-918-1664","10 to 19","$1-2.5 Million","(434) 218-6205","533101","Variety Stores","533101","Variety Stores","Verified"
"Dollar Tree","","","502 East Main St","Louisa","VA","23093","A","","","","75-823-0885","5 to 9","$500,000-1 Million","(540) 603-7018","533101","Variety Stores","533101","Variety Stores","Verified"
"Duke Oil Co","Chuck","Bush","628 Louisa Ave","Mineral","VA","23117","A","Male","Manager","5408940456","43-689-9058","10 to 19","","(540) 894-5161","517206","Oils-Fuel (Whls)","517206","Oils-Fuel (Whls)","Verified"
"E W Thomas Inc","Elizabeth C","Thomas","13027 James Madison Hwy","Palmyra","VA","22963","B+","Female","Manager","","62-046-9197","20 to 49","$2.5-5 Million","(434) 589-8412","539901","General Merchandise-Retail","539901","General Merchandise-Retail","Verified"
"Earlysville General Store","Chunil","Choi","4251 Earlysville Rd","Earlysville","VA","22936","B","Male","Owner","","31-177-9128","1 to 4","$500,000-1 Million","(434) 973-6967","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Easy Mart","Sima","Ben","507 Stewart St","Charlottesville","VA","22902","B","Female","Owner","4342936077","12-354-1773","1 to 4","$500,000-1 Million","(434) 293-6085","541103","Convenience Stores","541103","Convenience Stores","Verified"
"El Mariachi Mexican Restaurant","Gerado","Sanchez","37 Tanbark Plz","Lovingston","VA","22949","C+","Male","Owner","","73-834-3620","10 to 19","$1-2.5 Million","(434) 263-5999","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"El Tepeyac Grocery","Latino","Marquet","380 Greenbrier Dr # D","Charlottesville","VA","22901","C+","Female","Owner","","40-372-6257","1 to 4","Less Than $500,000","(434) 964-9300","541103","Convenience Stores","541103","Convenience Stores","Verified"
"El Tio Variedades","Castulo","Gaitan","259 Ridge Mcintire Rd","Charlottesville","VA","22903","C","Male","Owner","4342950063","62-449-8960","1 to 4","$500,000-1 Million","(434) 295-0024","481207","Cellular Telephones (Services)","481207","Cellular Telephones (Services)","Verified"
"Elk Creek Country Store","Mike","Rassiwalla","5224 Kentucky Springs Rd","Bumpass","VA","23024","B","Male","Owner","","41-498-5389","5 to 9","$1-2.5 Million","(540) 872-3275","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Everyday Cafe","Will","Graham","1800 Monticello Rd","Charlottesville","VA","22902","B+","Male","Site Manager","","58-876-2849","10 to 19","$2.5-5 Million","(434) 971-5683","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Everyday Cafe","Tammy","Hitt","240 Rolkin Rd","Charlottesville","VA","22911","B","Female","Site Manager","","39-740-1084","10 to 19","Less Than $500,000","(434) 971-8771","581208","Restaurants","581208","Restaurants","Verified"
"Everyday Cafe","Richard","Tamborine","2404 Fontaine Ave","Charlottesville","VA","22903","A+","Male","Site Manager","","58-876-0538","20 to 49","$2.5-5 Million","(434) 296-3790","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Everyday Cafe","Crystal","Cockman","101 Crofton Pl","Palmyra","VA","22963","B","Female","Site Manager","","48-865-8527","10 to 19","$5-10 Million","(434) 589-8499","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Everyday Cafe","Dale","Messer","11497 James Madison Hwy","Zion Crossroads","VA","22942","A","Male","Site Manager","","39-740-3205","20 to 49","$2.5-5 Million","(434) 589-2275","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Exxon","Patricia","Pitts","2401 Ivy Rd","Charlottesville","VA","22903","A+","Female","Manager","4348171494","12-352-8085","20 to 49","$10-20 Million","(434) 971-6608","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Exxon","Chris","Suhn","5995 Rockfish Gap Tpke","Crozet","VA","22932","B","Male","Owner","","72-247-3324","5 to 9","$2.5-5 Million","(434) 823-5251","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Exxon","Jack","Gilani","101 Mineral Ave","Mineral","VA","23117","B","Male","Manager","","72-246-9662","1 to 4","$1-2.5 Million","(540) 894-0142","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Exxon","","","11518 James Madison Hwy","Zion Crossroads","VA","22942","B+","","","4345896857","46-611-3065","5 to 9","$2.5-5 Million","(434) 589-6857","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Family Dollar Store","Shirley","Logan","2788 James Madison Hwy # A","Bremo Bluff","VA","23022","B+","Female","Site Manager","","97-719-5361","5 to 9","Less Than $500,000","(434) 459-6078","533101","Variety Stores","533101","Variety Stores","Verified"
"Family Dollar Store","Derwood","Shumaker","1135 5th St SW","Charlottesville","VA","22902","B+","Male","Manager","","30-787-3489","5 to 9","$1-2.5 Million","(434) 218-6922","533101","Variety Stores","533101","Variety Stores","Verified"
"Family Dollar Store","Michelle","Celancey","502 East Main St # 7","Louisa","VA","23093","B+","Female","Site Manager","","12-359-7460","5 to 9","$500,000-1 Million","(540) 603-7016","533101","Variety Stores","533101","Variety Stores","Verified"
"Family Dollar Store","Toni","Mc Neil","50 Main St","Lovingston","VA","22949","B+","Female","Site Manager","","54-117-1096","5 to 9","$500,000-1 Million","(434) 459-6079","533101","Variety Stores","533101","Variety Stores","Verified"
"Family Dollar Store","","","525 Mineral Ave","Mineral","VA","23117","B+","","","","70-648-2491","5 to 9","$500,000-1 Million","(540) 603-7017","533101","Variety Stores","533101","Variety Stores","Verified"
"Family Dollar Store","Dianne","Cowgill","26 Clore Dr","Ruckersville","VA","22968","B+","Female","Manager","","52-551-7769","5 to 9","$500,000-1 Million","(434) 990-9435","533101","Variety Stores","533101","Variety Stores","Verified"
"Fas Mart","","","1159 Millmont St","Charlottesville","VA","22903","B+","","","","74-783-8178","5 to 9","$500,000-1 Million","(434) 979-7996","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","1800 Monticello Rd","Charlottesville","VA","22902","B+","","","","74-783-8177","5 to 9","$500,000-1 Million","(434) 971-5683","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","240 Rolkin Rd","Charlottesville","VA","22911","B+","","","","74-783-8176","5 to 9","$1-2.5 Million","Not Available","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","2404 Fontaine Ave","Charlottesville","VA","22903","B+","","","","74-783-8172","5 to 9","$500,000-1 Million","(434) 296-3790","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","3470 Seminole Trl","Charlottesville","VA","22911","B+","","","","74-783-8179","5 to 9","$1-2.5 Million","(434) 973-3733","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","1248 Crozet Ave","Crozet","VA","22932","B+","","","","74-784-7736","5 to 9","$1-2.5 Million","(434) 823-6585","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","450 East Main St","Louisa","VA","23093","B+","","","","74-784-9023","5 to 9","$500,000-1 Million","(540) 967-0379","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","44 Callohill Dr","Lovingston","VA","22949","B+","","","","74-784-9026","5 to 9","$500,000-1 Million","(434) 263-6060","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","101 Crofton Pl","Palmyra","VA","22963","B+","","","","74-785-6519","5 to 9","$500,000-1 Million","(434) 589-8499","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","13626 James Madison Hwy","Palmyra","VA","22963","B+","","","","74-785-6517","5 to 9","$500,000-1 Million","(434) 589-2109","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","11445 James Madison Hwy","Zion Crossroads","VA","22942","B+","","","","74-784-9019","5 to 9","$500,000-1 Million","(434) 589-1593","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Fas Mart","","","11497 James Madison Hwy","Zion Crossroads","VA","22942","B+","","","","74-784-9020","5 to 9","$500,000-1 Million","(434) 589-4167","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Ferncliff Exxon","Wayne","Norcross","44 Kents Store Rd","Kents Store","VA","23084","B+","Male","Site Manager","","90-154-7547","5 to 9","$2.5-5 Million","(434) 589-3111","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Ferncliff Market","Soon","Kang","3542 Three Notch Rd","Louisa","VA","23093","B","Female","Owner","","86-872-3867","1 to 4","Less Than $500,000","(434) 589-3568","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Fifth Street Shell","Larry","Beasley","1177 5th St SW","Charlottesville","VA","22902","B+","Male","Owner","4349798933","40-676-6154","5 to 9","$2.5-5 Million","(434) 979-8071","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Food Lion","Michael","Taylor","1131 5th St SW","Charlottesville","VA","22902","A+","Male","Manager","","30-787-2952","50 to 99","$10-20 Million","(434) 971-5877","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Frankie","Balser","1740 Timberwood Blvd","Charlottesville","VA","22911","A+","Male","General Mgr","","40-117-7167","20 to 49","$5-10 Million","(434) 978-1848","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Matthew","Adinolfi","32 Mill Creek Dr # 101","Charlottesville","VA","22902","A+","Male","Manager","","52-550-2746","50 to 99","$10-20 Million","(434) 295-6679","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Taylor","Jenkins","570 Riverbend Dr","Charlottesville","VA","22911","A+","Male","Manager","","30-787-3299","50 to 99","$10-20 Million","(434) 971-8451","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Shane","Castle","585 Branchlands Blvd","Charlottesville","VA","22901","A+","Male","Manager","","41-973-3134","20 to 49","$5-10 Million","(434) 973-9424","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Mike","Hicks","501 East Main St","Louisa","VA","23093","A","Male","Manager","","40-133-6678","50 to 99","$5-10 Million","(540) 967-2402","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Scott","Withers","85 Callohill Dr","Lovingston","VA","22949","A+","Male","General Mgr","","57-109-8870","50 to 99","$5-10 Million","(434) 263-8748","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","","","11010 Kentucky Springs Rd","Mineral","VA","23117","A","","","","40-363-5966","50 to 99","$5-10 Million","(540) 894-0560","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Bobby","Sprouse","264 Turkeysag Trl # A","Palmyra","VA","22963","A+","Male","General Mgr","","52-550-5558","50 to 99","$5-10 Million","(434) 589-5538","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","Marisa","Wittig","136 Cedar Grove Rd","Ruckersville","VA","22968","A+","Female","General Mgr","","52-551-7066","50 to 99","$10-20 Million","(434) 985-1101","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Lion","","","198 Scottsville Ctr","Scottsville","VA","24590","A","","","","40-905-6329","50 to 99","$10-20 Million","(434) 286-2967","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Master","Naseem","Arbab","308 Ridge St","Charlottesville","VA","22902","C+","Male","Manager","","31-471-2415","1 to 4","Less Than $500,000","(434) 977-4387","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Gateway Market","","","5688 Rockfish Gap Tpke","Charlottesville","VA","22903","B","","","","68-806-9822","1 to 4","$500,000-1 Million","(434) 823-2600","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Giant Food","Tim","Wamsley","1900 Abbey Rd","Charlottesville","VA","22911","A","Male","General Mgr","4342444339","26-522-0525","250 to 499","$50-100 Million","(434) 244-4300","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Goco Food Marts","Betty","Noel","832 Cherry Ave","Charlottesville","VA","22903","B+","Female","Manager","","30-787-3307","5 to 9","$1-2.5 Million","(434) 293-4506","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Goco Food Marts","Nancy","Gibson","924 Harris St","Charlottesville","VA","22903","B","Female","Manager","","62-449-1957","1 to 4","$20-50 Million","(434) 293-8360","517215","Oils-Petroleum (Whls)","517215","Oils-Petroleum (Whls)","Verified"
"Goco Oil Co","Harry","Montague","924 Harris St","Charlottesville","VA","22903","B+","Male","President","4349777423","12-353-4521","5 to 9","$500,000-1 Million","(434) 296-6344","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Graves Grocery","","","1779 Rockfish Valley Hwy","Nellysford","VA","22958","B","","","","54-117-1310","1 to 4","$500,000-1 Million","(434) 361-2504","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Greene Great Valu Inc","Hi K","Yoon","8271 Spotswood Trl","Stanardsville","VA","22973","B+","Male","Owner","4349854354","75-588-5170","5 to 9","$500,000-1 Million","(434) 985-7279","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Greenwood Gourmet Grocery","Nina","Promisel","6701 Rockfish Gap Tpke","Crozet","VA","22932","B","Female","Owner","","36-634-4513","1 to 4","Less Than $500,000","(540) 456-6431","543101","Fruits & Vegetables & Produce-Retail","543101","Fruits & Vegetables & Produce-Retail","Verified"
"Guadalajara","","","395 Greenbrier Dr","Charlottesville","VA","22901","B+","","","4349782883","40-117-7241","10 to 19","Less Than $500,000","(434) 978-4313","581208","Restaurants","581208","Restaurants","Verified"
"Gum Ventures","Nancy","Cole","911 Cross County Rd","Mineral","VA","23117","B","Female","Owner","","66-685-6521","10 to 19","$5-10 Million","(804) 556-1157","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Halal Mini Mart","","","2114 Angus Rd","Charlottesville","VA","22901","B","","","","70-676-2117","5 to 9","$1-2.5 Million","(434) 284-8904","541103","Convenience Stores","541103","Convenience Stores","Verified"
